text,tokoh,date
"Cukup sudah, sombong kali kau pak, kita lihat apa yang akan kau katakan ditahun-tahun mendatang tentang ekonomi negeri. 
🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
Mungkin kehancuran ekonomi bisa sedikit menghancurkan kesombongan mu!!!!",Purbaya Yudhi Sadewa,2025-12-04T03:26:04Z
Mentri Keuangan terbaik,Purbaya Yudhi Sadewa,2025-12-04T03:05:30Z
benar agen CIA.,Purbaya Yudhi Sadewa,2025-12-04T03:03:20Z
Masa bank konminjam uang ketaspen 800 miliyar ini menurut ak gila banknya,Purbaya Yudhi Sadewa,2025-12-04T03:01:10Z
"Sri Mulyani hrs di periksa, 10 thn lebih kok gak ada perbaikan ekonomi, system , regulasi, rakyat susah utk hidup selama ini.",Purbaya Yudhi Sadewa,2025-12-04T02:49:19Z
Bu Sri Mulyani buat PP udh agar cepat cair kalau tidak begini terus,Purbaya Yudhi Sadewa,2025-12-04T02:37:44Z
Mentri yang dibayar 2M  ( Makasih Mas ) 😂,Purbaya Yudhi Sadewa,2025-12-04T02:34:48Z
Srimul,Purbaya Yudhi Sadewa,2025-12-04T02:23:17Z
"Tp Mentri Sri Mulyani yg terbaik kataaaaaaaannnnnyyyyyyaaaaa, pdhl kinerja nya amburadul, memperkaya diri, menindas rakyat, itulah Sri Mulyani,",Purbaya Yudhi Sadewa,2025-12-04T02:15:55Z
Kirain q c ratu pajak pinter 😂😂,Purbaya Yudhi Sadewa,2025-12-04T02:03:22Z
Kelihatan Mentri yang jadi peliharaan Koruptor negara  yang di agung agungkan Mentri keuangan Best of the Year bertahun tahun ga salah bang ini buktinya ketidak kopeten Negara kita mengurus uang negara ujung ujung jadi sarana Koruptor... kalau bisa dikasus kan bang kalau ada bukti ke KPK ,Purbaya Yudhi Sadewa,2025-12-04T01:48:47Z
"Menteri kewangan terbaik sepanjang sejarah Indonesia, tranferran - profesional dan apa adanya gk menutup'nutupi, teruskan pk purbaya 'cantas semua anggaran yg mencurigakan, buatkan seluruh wni kartu ATM semua",Purbaya Yudhi Sadewa,2025-12-04T01:48:05Z
Mulut sama bool sama saja. Woy sontoloyo balikin tuh uang bencana 200 trilyun yang kau rewo rewo kan dengan gengmu di bank. Muka badak gak punya empati,Purbaya Yudhi Sadewa,2025-12-06T03:47:54Z
Uang standby bencana 200 trilyun dibancakin purbaya dan gengnya. Hari ini disumatra ratusan orang mati. Ratusan ribu orang kekurangan sembako dan bahan pangan. Uang bencana sudah ludes dibantai purbaya dan gengnya di perbankan. Makanya penanggulan gan bencana makin miris,Purbaya Yudhi Sadewa,2025-12-05T13:18:55Z
pak purbaya panjang umur sehat selalu,Purbaya Yudhi Sadewa,2025-12-05T12:31:26Z
PURBAYA YUDHI SADEWA PRESIDEN KE 9 RI,Purbaya Yudhi Sadewa,2025-12-05T01:29:08Z
PS...ada ganti lagi Mentri lagi dong... biar Purbaya nggak keteteran kerja beres2...dan semua harus beres dan baik,Purbaya Yudhi Sadewa,2025-12-05T00:31:02Z
"Ekonomi hanya naik terus bertahan baik, terutama disebabkan banyaknya inovator dan entrprenaur yang mampu menyediakan kesempatan kerja sehingga membuat pertumbuhan ekonomi yg terus bertumbuh.",Purbaya Yudhi Sadewa,2025-12-04T13:09:37Z
Yg nggak suka byk dri kubu koruptor nampaknya,Purbaya Yudhi Sadewa,2025-12-04T12:42:26Z
"Mindahin duit ke bank komersial, secara cashflows sama dengan belanja Pak Menteri. Yg Bpak bilangTDK BELANJA itu hanya statusnya. Mungkin mindset Bpak terbentuk oleh understanding deposit on call. Itu beda Pak Menteri. Deposit on call itu You can take back at any time you need. Kalau mengalir ke perbankan gak bakalan bisa begitu, kecuali jenis penempatan bank dijamin oleh standby L/C oleh prime banks dan atau disimpan di BI.",Purbaya Yudhi Sadewa,2025-12-04T12:19:45Z
JENDRAL BINTANG 5 EKONOMI,Purbaya Yudhi Sadewa,2025-12-04T10:44:02Z
ELEGAN,Purbaya Yudhi Sadewa,2025-12-04T10:40:30Z
"Pecat aj min,Purbaya itu!!!! Nggak Pantes juga dia jadi KEMENKEU,panggil lagi aja Bu Sri Mulyani,,beliau cocok dan pantas menyandang jabatan itu,,, PECAT PURBAYA 😠",Purbaya Yudhi Sadewa,2025-12-03T13:12:38Z
Ketua BI harus diganti,Purbaya Yudhi Sadewa,2025-12-03T13:12:12Z
Kesini karna ada pak koboy😂...mantap pak pur,Purbaya Yudhi Sadewa,2025-12-03T12:28:36Z
Hamdallah pak Purbaya msh kerja dgn baik nmpaknya 🙏🙏🙏,Purbaya Yudhi Sadewa,2025-12-03T10:55:20Z
"Pak Purbaya Pinjaman KUR untuk UMKM terkendala oleh OJK, contoh kayak saya sebagai UMKM tidak lolos pinjaman KUR disebabkan ada yg memakan nama saya 7 tahun yg lalu, terjadilah Kredit macet mereka tidak sanggup bayar, saya mau tanya batas waktu BI Checking berapa tahun, Pak apakah BI Checking berlaku seumur hidup mohon pencerahannya Pak .",Purbaya Yudhi Sadewa,2025-12-06T01:05:34Z
"Turuni bensin , listrik dan pajak pak dah deh itu dulu….",Purbaya Yudhi Sadewa,2025-12-06T00:26:53Z
Kenapa ya selalu dari partai PDIP yg selalu kontra dgn kebijakan Menkeu???,Purbaya Yudhi Sadewa,2025-12-05T17:16:56Z
Mereka sok2an.. Padahal ketakutan maling2 itu😂😂😂😂😂😂😂,Purbaya Yudhi Sadewa,2025-12-05T14:13:03Z
"Pajak. Tr us .ngomongin. Itu trus,kebijakan demi kantong ae.nkan rakyat ,",Purbaya Yudhi Sadewa,2025-12-05T13:48:16Z
DPR yang gak pernah kerja mau mengevaluasi Mentri yg kerjanya telah terbukti berhasil. Emang negara dagelan kocak abis 😂,Purbaya Yudhi Sadewa,2025-12-05T12:29:21Z
Anggota DPR udah tau kalian apa yg harus ditaroh di kepala ?,Purbaya Yudhi Sadewa,2025-12-05T11:21:41Z
"Betapa malas berfikir DPR maunya menadahkan tangan saja contohnya hanya mengandalkan pajak dan pajak ,inofasi dong sudah dapat gaji ekra",Purbaya Yudhi Sadewa,2025-12-05T07:34:17Z
DPR dinaikan pajak itu tunjangan nya gede2,Purbaya Yudhi Sadewa,2025-12-05T07:31:23Z
Semua Anggota DPR RI SEMUA ngeri banget rasanya Korupsi.pinter omong.sok.😮,Purbaya Yudhi Sadewa,2025-12-05T07:02:50Z
Harusnya dpr dan dprd di hapus kan beres gak akan rugi negara gaji para pejabat bodoh ituuu,Purbaya Yudhi Sadewa,2025-12-05T06:58:33Z
Dpr dewan pencekik rakyat,Purbaya Yudhi Sadewa,2025-12-05T06:11:28Z
"Betul pak Purbaya, kondisi ekonomi sepi kayak gini kok nagih pajak, gendeng yg nanya.",Purbaya Yudhi Sadewa,2025-12-05T06:05:09Z
"Pemburu pajak minta kenaikan,tapi diminta mengesahkan UU perampasan aset oleh rakyat alotnya bukan main,banyak alesannya 🤔🤔🤔🙄🙄🙄",Purbaya Yudhi Sadewa,2025-12-05T05:09:44Z
sebenarnya rakyat  indonesia bis😅a tanpa pajak bila tidak ada  korupsi  dan sda kita tidak dikorup j7ga 😢,Purbaya Yudhi Sadewa,2025-12-05T04:15:48Z
"Makanya APBN jangan dari pajak, kekayaan alam yg sangat berlimpah dikemanakan .....",Purbaya Yudhi Sadewa,2025-12-05T03:47:21Z
"Dari sekian bnyak mentri, hanya mentri Amran, purbaya, & syafri yg di respek masyarakat.. Lainya zonk",Purbaya Yudhi Sadewa,2025-12-05T03:43:35Z
Ha ha Menkeu nanggapi DPR sambil cengengesan gogil markotop,Purbaya Yudhi Sadewa,2025-12-05T03:22:42Z
Nggak usah tanya macam macam2 pak dpR harus ikut bayar pajak juga berserta kroninya jangan negara pula yg bayyar pajak anda😢😢,Purbaya Yudhi Sadewa,2025-12-05T03:04:06Z
Jangan sampai ada pejabat dan prngusaha tdk bayar pajak,Purbaya Yudhi Sadewa,2025-12-05T02:57:47Z
